"contrast","cellline","time","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"Control - Migration","HCC38","0",0.463747941652012,0.740824392938707,71.0000000000005,0.625989027996789,0.533329428635523,"FA22.6_w3",0.944942193014634
"Control - Migration","HCC1143","12",-0.00926747081082075,0.740824392938707,71.0000000000001,-0.0125096728714054,0.990054070592289,"FA22.6_w3",0.999999999999906
"Control - Migration","HCC38","12",-0.0862492424345425,0.740824392938707,71.0000000000001,-0.116423329545627,0.907645731734198,"FA22.6_w3",0.999999999999991
"Control - Migration","HCC1143","18",0.105748153533293,0.792424446981079,70.9999999999998,0.13344887823207,0.894215918514085,"FA22.6_w3",0.99999999999993
"Control - Migration","HCC38","18",-0.0391178737730934,0.740824392938708,70.9999999999998,-0.0528031665074099,0.958037026284862,"FA22.6_w3",0.999999999999992
"Control - Migration","HCC1143","22",-0.0579424157173072,0.740824392938708,70.9999999999998,-0.0782134285393341,0.937878289845358,"FA22.6_w3",0.999999999999908
"Control - Migration","HCC38","22",1.84081616240972,0.740824392938707,70.9999999999998,2.48482120723314,0.0153205403354506,"FA22.6_w3",0.214487564696309
"Control - Migration","HCC1143","0",3.10058963678257e-13,0.197888983013448,71.0000000000008,1.56683287243528e-12,0.999999999998754,"GCDCA",0.999999999998754
"Control - Migration","HCC38","0",0.502752742541588,0.197888983013448,70.9999999999998,2.54057974772361,0.0132548659224157,"GCDCA",0.181428489883269
"Control - Migration","HCC1143","12",2.33512290018065e-14,0.197888983013448,70.9999999999998,1.18001662579769e-13,0.999999999999906,"GCDCA",0.999999999999906
"Control - Migration","HCC38","12",4.47742971171339e-15,0.197888983013448,70.9999999999998,2.26259675679324e-14,0.999999999999982,"GCDCA",0.999999999999991
"Control - Migration","HCC1143","18",1.8571068189352e-14,0.211672387416146,70.9999999999998,8.77349588014116e-14,0.99999999999993,"GCDCA",0.99999999999993
"Control - Migration","HCC38","18",1.91768259258374e-15,0.197888983013448,70.9999999999998,9.69069911513678e-15,0.999999999999992,"GCDCA",0.999999999999992
"Control - Migration","HCC1143","22",3.00906951179188e-14,0.197888983013448,70.9999999999998,1.52058465608841e-13,0.999999999999879,"GCDCA",0.999999999999908
"Control - Migration","HCC38","22",2.89021194130323e-15,0.197888983013448,70.9999999999998,1.46052190338804e-14,0.999999999999988,"GCDCA",0.999999999999988
"Control - Migration","HCC1143","0",-0.0373517986733597,0.100978501668688,71.0000000000031,-0.369898523508614,0.712559185167645,"GLCA",0.999999999998754
"Control - Migration","HCC38","0",-0.0252081643462905,0.100978501668688,70.9999999999998,-0.249638922441124,0.803587441292085,"GLCA",0.956523789918559
"Control - Migration","HCC1143","12",-0.0377108822936776,0.100978501668688,71.0000000000001,-0.373454563798219,0.709922932896873,"GLCA",0.999999999999906
"Control - Migration","HCC38","12",-0.167685682761947,0.100978501668688,71.0000000000001,-1.66060775304556,0.101202593333997,"GLCA",0.863109900342244
"Control - Migration","HCC1143","18",-0.0611234694048268,0.108011877179655,70.9999999999998,-0.565895816282879,0.573248842611753,"GLCA",0.99999999999993
"Control - Migration","HCC38","18",-0.0498783509088291,0.100978501668688,71.0000000000001,-0.49395019815684,0.622866059385889,"GLCA",0.999999999999992
"Control - Migration","HCC1143","22",0.0272033906856842,0.100978501668688,70.9999999999998,0.269397844453456,0.788404926160445,"GLCA",0.999999999999908
"Control - Migration","HCC38","22",-0.0046363404714554,0.100978501668688,70.9999999999998,-0.045914134145774,0.963507586336118,"GLCA",0.999999999999988
"Control - Migration","HCC1143","0",-0.436490260794122,0.181137640439883,68.1894208052488,-2.40971594713351,0.0186690183738995,"HCA",0.196024692925944
"Control - Migration","HCC38","0",0.199029388525046,0.181137640439884,68.1894208052488,1.09877432455073,0.275730954925965,"HCA",0.944942193014634
"Control - Migration","HCC1143","12",-0.195620263309857,0.181137640439884,68.1894208052485,-1.07995369065647,0.283967820205525,"HCA",0.999999999999906
"Control - Migration","HCC38","12",-0.0232736582225038,0.181137640439884,68.1894208052482,-0.128486040593136,0.898142547625358,"HCA",0.999999999999991
"Control - Migration","HCC1143","18",-0.0892903409354119,0.193198409811266,69.2326456892949,-0.462169129769954,0.64540918309635,"HCA",0.99999999999993
"Control - Migration","HCC38","18",0.176807752502664,0.181137640439884,68.1894208052485,0.976096144751006,0.33246700563844,"HCA",0.827591680469624
"Control - Migration","HCC1143","22",0.0874805717477072,0.181137640439883,68.1894208052485,0.482950818699334,0.63067763134899,"HCA",0.999999999999908
"Control - Migration","HCC38","22",0.143622191224422,0.181137640439884,68.1894208052482,0.792889820556585,0.430592162143961,"HCA",0.951835305791915
"Control - Migration","HCC1143","0",0.984963103947346,0.716195018867767,70.5033107258481,1.37527220659043,0.173401394733577,"PGE2",0.910357322351281
"Control - Migration","HCC38","0",-1.31583170683394,0.716195018867768,70.5033107258487,-1.83725336279794,0.0703868154706091,"PGE2",0.517984516735185
"Control - Migration","HCC1143","12",-0.877530598992829,0.716195018867767,70.5033107258487,-1.22526766575411,0.224551980742487,"PGE2",0.999999999999906
"Control - Migration","HCC38","12",-0.129354770553999,0.716195018867768,70.5033107258484,-0.180613893068533,0.857188825986714,"PGE2",0.999999999999991
"Control - Migration","HCC1143","18",0.231408315670541,0.765513172295364,70.7054178513199,0.302291748914876,0.763317129411007,"PGE2",0.99999999999993
"Control - Migration","HCC38","18",0.18080950363352,0.716195018867768,70.5033107258481,0.252458476909489,0.801421275146372,"PGE2",0.999999999999992
"Control - Migration","HCC1143","22",-0.353314314474291,0.716195018867768,70.5033107258481,-0.49332137918642,0.623318707443426,"PGE2",0.999999999999908
"Control - Migration","HCC38","22",0.192792088221576,0.716195018867768,70.5033107258481,0.269189373205026,0.788570186076691,"PGE2",0.989440426716571
"Control - Migration","HCC1143","0",0.742785266235421,0.441527575580712,71.0000000000018,1.68230775905329,0.0969025093770873,"PGK2",0.581415056262524
"Control - Migration","HCC38","0",0.246441700128475,0.441527575580713,71.0000000000001,0.558156984429218,0.578493084104496,"PGK2",0.944942193014634
"Control - Migration","HCC1143","12",-0.299305955564445,0.441527575580713,71.0000000000001,-0.677887344116133,0.500046376712612,"PGK2",0.999999999999906
"Control - Migration","HCC38","12",-0.531974965172814,0.441527575580714,71.0000000000001,-1.20485105482515,0.232261541813037,"PGK2",0.999999999999991
"Control - Migration","HCC1143","18",0.583775711810644,0.472280945715823,71.0000000000001,1.23607720596441,0.22050368309839,"PGK2",0.99999999999993
"Control - Migration","HCC38","18",-0.146028149515769,0.441527575580714,70.9999999999998,-0.330733928280034,0.74181952782484,"PGK2",0.999999999999992
"Control - Migration","HCC1143","22",-0.720452481432152,0.441527575580714,70.9999999999998,-1.6317270342279,0.107165008485361,"PGK2",0.950763643216751
